"SortIndex","VirtualDistance (m)","DepthOfCover (m)","ACVG_VSS_DB","Attenuation","DCVGPercentIR","CPCIPS_OnPotential","CPCIPS_InstantOffPotential","ACPSP_OnPotential","Latitude","Longitude","Pipe_Top_Elevation (m)","Pipe_Center_Elevation (m)","Pipe_Bottom_Elevation (m)","ALIASList","FeatureID","ROWALIASList","Comment"
0,0,10.096,111,0,0,-0.611,-0.541,0.555,26.48888992875,90.5465155060834,38.053,37.8752,37.6974,,9000,,Ij ; unp
1,1.59837545360987,9.89553898298146,108,0,0,-0.618,-0.557,0.544,26.4888851012778,90.5465005999445,38.2947297603473,38.1169297603473,37.9391297603473,,9000,,protected
2,3.26937535952168,9.68589028438878,107,0,0,-0.574,-0.5,0.538,26.4888819,90.5464844181667,38.5433152886107,38.3655152886107,38.1877152886107,,9000,,
3,4.8899612989682,9.48250098047895,109,5.61669772149554,0,-0.601,-0.528,0.513,26.4888780145,90.5464689354445,38.7809336760794,38.6031336760794,38.4253336760794,,9000,,
4,6.34560154475902,9.29976320899742,108,34.485084476767,0,-0.604,-0.552,0.498,26.4888745053333,90.5464550304444,38.9917051232389,38.8139051232389,38.6361051232389,,9000,,
5,7.73201621472575,9.125632160075,106,39.0276865880301,0,-0.654,-0.589,0.505,26.4888796635,90.5464425198333,39.187892036691,39.010092036691,38.832292036691,,9000,,
6,9.20592622666558,8.94036677730242,106,16.9988081930262,0,-0.625,-0.571,0.41,26.4888911276667,90.54643530475,39.3882974762866,39.2104974762866,39.0326974762866,,9000,Riser,
7,10.701066973308,8.75207298759527,103,21.0992734977081,0,-0.62,-0.572,0.216,26.4889043877621,90.5464379992759,39.5762142411658,39.3984142411658,39.2206142411658,,9000,,
8,12.1160194269095,8.56569504842518,103,35.4550959091163,0,-0.611,-0.554,0.077,26.4889168957824,90.5464399808897,39.7791883847623,39.6013883847623,39.4235883847623,,9000,,
9,13.6363326025908,8.37450123470206,103,54.6434647111189,0,-0.605,-0.533,0.105,26.4889303480885,90.5464421121046,39.9870621491303,39.8092621491303,39.6314621491303,,9000,,
